Data,Casos Confirmados,Óbitos
"Mar 7, 2020",0,0
"Mar 8, 2020",0,0
"Mar 9, 2020",0,0
"Mar 10, 2020",1,0
"Mar 11, 2020",2,0
"Mar 12, 2020",4,0
"Mar 13, 2020",4,0
"Mar 14, 2020",6,0
"Mar 15, 2020",6,0
"Mar 16, 2020",6,0
"Mar 17, 2020",10,0
"Mar 18, 2020",19,0
"Mar 19, 2020",28,0
"Mar 20, 2020",37,0
"Mar 21, 2020",60,0
"Mar 22, 2020",72,0
"Mar 23, 2020",86,0
"Mar 24, 2020",98,0
"Mar 25, 2020",123,1
"Mar 26, 2020",168,1
"Mar 27, 2020",195,2
"Mar 28, 2020",197,2
"Mar 29, 2020",226,2
"Mar 30, 2020",241,3
"Mar 31, 2020",274,4
"Apr 1, 2020",306,4
"Apr 2, 2020",334,5
"Apr 3, 2020",396,5
"Apr 4, 2020",410,6
"Apr 5, 2020",418,7
"Apr 6, 2020",481,7
"Apr 7, 2020",508,8
"Apr 8, 2020",555,9
"Apr 9, 2020",618,12
"Apr 10, 2020",636,14
"Apr 11, 2020",640,15
"Apr 12, 2020",653,16
"Apr 13, 2020",664,16
"Apr 14, 2020",700,18
"Apr 15, 2020",747,19
"Apr 16, 2020",780,19
"Apr 17, 2020",802,22
"Apr 18, 2020",831,24
"Apr 19, 2020",854,24
"Apr 20, 2020",889,27
"Apr 21, 2020",904,27
"Apr 22, 2020",923,27
"Apr 23, 2020",994,29
"Apr 24, 2020",1061,31
"Apr 25, 2020",1096,34
"Apr 26, 2020",1166,35
"Apr 27, 2020",1228,42
"Apr 28, 2020",1286,45
"Apr 29, 2020",1368,50
